loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
1.0245956;0.675;1.1017871;0.6011;1.1192169;0.6047;40;39;37;36
0.836786;0.775;0.73616964;0.7647;0.76267034;0.7508;39;38;35;35
0.61473733;0.8;0.7220993;0.7645;0.7268242;0.7662;36;36;35;34
0.8501879;0.725;0.7420299;0.7443;0.74791604;0.7433;34;35;34;33
0.7631542;0.7625;0.75511086;0.7642;0.7764924;0.7544;33;35;34;32
0.6793438;0.8;0.6401714;0.7901;0.65799373;0.7802;32;35;34;32
1.1871792;0.5875;1.2669213;0.5655;1.3483554;0.5365;30;33;33;31
0.6225476;0.8125;0.70144355;0.7665;0.6990137;0.7776;30;33;33;30
0.8570903;0.7;0.908841;0.684;0.94147813;0.6775;30;33;33;30
0.7423297;0.7625;0.70570284;0.7588;0.70610183;0.7572;29;32;32;30
0.5921372;0.875;0.5215742;0.8536;0.54040813;0.8377;29;32;32;30
0.57358634;0.8125;0.57639426;0.8168;0.5730736;0.8138;29;32;32;29
0.67199963;0.775;0.502377;0.8509;0.5503583;0.8302;29;32;32;29
0.63989294;0.7875;0.4816678;0.8605;0.5007578;0.8567;28;32;32;29
0.6023598;0.8;0.4221312;0.875;0.43522105;0.8678;28;31;32;29
0.42057642;0.875;0.89748585;0.7137;0.874793;0.7305;27;31;31;28
0.7831756;0.7875;0.55694944;0.8292;0.5685096;0.8196;27;31;31;28
0.6924402;0.8375;0.4784861;0.8613;0.49754813;0.853;26;31;31;28
0.4820118;0.8625;0.4332449;0.8698;0.44693354;0.8712;26;31;31;28
0.6973118;0.7625;0.5598677;0.8309;0.5738316;0.8203;26;31;31;28
0.68563664;0.7375;0.42906561;0.8717;0.4254915;0.8726;26;31;31;28
1.2236564;0.6625;0.79810864;0.7406;0.80842674;0.7408;26;30;31;28
0.6085579;0.8125;0.4565456;0.8644;0.4830126;0.8583;26;30;31;28
0.5485158;0.8;0.463771;0.8591;0.48581558;0.8503;26;30;31;28
0.39927238;0.875;0.45087275;0.8665;0.45999044;0.8672;26;30;31;28
0.55568826;0.85;0.4082364;0.8787;0.42457426;0.8746;26;30;31;28
0.557553;0.7875;0.4341494;0.8677;0.45354542;0.8567;26;30;31;28
0.5929821;0.8;0.4561079;0.8654;0.48681885;0.8528;26;30;30;28
0.522054;0.8375;0.53823763;0.8308;0.5530739;0.8247;26;29;30;28
0.59335965;0.85;0.44714928;0.8708;0.46449512;0.864;26;29;30;28
0.94480765;0.8125;0.5335282;0.8398;0.5441547;0.8288;26;29;29;28
0.74859256;0.7875;0.48450273;0.8488;0.4954578;0.8421;26;29;29;28
0.4970433;0.8375;0.4870454;0.8559;0.47828075;0.8581;26;29;29;28
0.39901108;0.825;0.43441322;0.8742;0.43945226;0.8778;26;29;29;28
0.19307622;0.925;0.3614551;0.8967;0.3634304;0.8935;26;29;29;28
0.50761795;0.8375;0.36295706;0.8953;0.37467748;0.8904;26;29;29;28
0.35959697;0.875;0.35401207;0.8932;0.37682813;0.8897;26;29;29;28
0.2751213;0.95;0.35222232;0.8909;0.3488577;0.8936;26;29;29;28
0.36353058;0.9;0.34200662;0.9035;0.34555438;0.903;26;29;29;27
0.40853363;0.8625;0.32565704;0.9067;0.32817996;0.9027;26;29;29;27
5.6770353;0.2875;2.259507;0.437;2.2891777;0.4346;26;29;29;27
0.42486468;0.8875;0.5239354;0.851;0.54772365;0.8387;26;29;29;27
0.5808128;0.7875;0.3992623;0.8768;0.4032706;0.8766;26;29;29;27
0.34510842;0.9;0.3710949;0.8914;0.3969686;0.8862;26;28;28;27
0.3474992;0.925;0.3350127;0.9013;0.34842852;0.8954;26;28;28;27
0.53256834;0.8;0.37120885;0.894;0.38324916;0.8888;26;28;28;27
0.27791697;0.875;0.40172443;0.8804;0.40646875;0.8765;26;27;28;27
0.59441316;0.825;0.45601285;0.864;0.4690077;0.8576;26;27;28;26
0.51758605;0.9125;0.5330824;0.8382;0.5500626;0.8342;26;27;28;26
0.39706695;0.875;0.39378592;0.8815;0.4308496;0.8666;26;27;28;26
0.41017237;0.875;0.3369656;0.9004;0.343108;0.8963;26;27;28;26
0.3769247;0.8625;0.3267341;0.9055;0.34266263;0.8994;26;27;28;26
0.2781303;0.925;0.32508072;0.9074;0.3412901;0.9016;26;27;28;26
0.49405137;0.85;0.34329653;0.8962;0.35880825;0.8921;26;27;28;26
0.26580164;0.8875;0.34754628;0.896;0.36716583;0.8878;26;27;28;26
0.35231248;0.9125;0.3284599;0.9031;0.3421522;0.9012;26;27;28;26
0.30824178;0.9125;0.3126717;0.9085;0.33055645;0.9041;26;27;28;26
0.38056642;0.875;0.29417804;0.9136;0.32564288;0.9018;26;27;28;26
0.37544733;0.95;0.38224936;0.8899;0.38410038;0.8852;26;27;28;26
0.4120894;0.85;0.3378416;0.8999;0.3657593;0.8965;26;27;28;26
0.27414975;0.9;0.29935634;0.9174;0.35100487;0.9029;26;27;28;26
0.49301323;0.8875;0.2898844;0.9151;0.31572863;0.9088;26;27;28;26
0.40825215;0.9;0.29136476;0.9199;0.3098776;0.9084;26;27;28;26
0.30069727;0.9125;0.27228695;0.9241;0.27672535;0.9193;26;27;27;26
0.34073704;0.9375;0.26320884;0.926;0.28546262;0.9172;26;26;27;26
0.41733876;0.8625;0.27177855;0.9221;0.286329;0.915;26;26;27;26
0.38310996;0.9;0.33344555;0.9029;0.34720457;0.8992;26;26;27;26
0.5515104;0.8625;0.34685972;0.899;0.3557759;0.8933;26;26;27;26
0.61137724;0.7875;0.39303663;0.8875;0.43097344;0.8777;26;26;27;26
0.4114996;0.925;0.27909786;0.9172;0.29143453;0.9135;26;26;27;26
0.29264832;0.9125;0.27373886;0.9208;0.2884104;0.9167;26;26;27;26
0.31127173;0.9;0.30075747;0.9152;0.33365908;0.9051;26;26;27;26
