loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.3264253;0.525;1.064715;0.6227;1.1007636;0.6095;32;30;30;30
0.7144623;0.825;0.65853053;0.7883;0.67785203;0.7882;31;29;29;27
1.1092894;0.55;1.052837;0.6497;1.0785662;0.6353;29;29;29;27
0.97187054;0.6;0.88454825;0.6972;0.90408224;0.6938;28;29;29;26
1.0702263;0.5;0.9176211;0.6871;0.9360734;0.6918;28;28;29;26
1.248493;0.4875;0.8093024;0.7312;0.813987;0.7156;27;28;27;26
1.4986156;0.5;1.078429;0.6307;1.0708592;0.6327;26;27;27;26
0.70617676;0.8;0.9392754;0.694;0.9220082;0.7042;25;26;27;26
1.5895494;0.4375;0.7386733;0.7814;0.7601143;0.7684;24;25;27;26
0.7124304;0.725;0.7047187;0.7671;0.73757124;0.7542;24;25;27;26
0.6526886;0.8;0.71243703;0.7778;0.718011;0.7686;23;25;27;25
0.6707039;0.825;0.55252147;0.8404;0.5924193;0.8309;23;24;27;25
0.46970367;0.8875;0.49191728;0.8548;0.50740004;0.8534;23;24;26;25
0.34305015;0.9125;0.4434267;0.8658;0.4658079;0.8639;22;24;26;25
0.7309821;0.75;0.49802715;0.8475;0.50381994;0.8475;22;23;26;25
0.59626204;0.7875;0.54789895;0.8067;0.55103874;0.8082;22;23;26;24
0.8372429;0.6875;0.623267;0.7957;0.6306459;0.7882;22;23;26;24
0.5325513;0.8125;0.48513135;0.8516;0.5052085;0.8461;22;23;24;24
0.6165438;0.8;0.39401144;0.8797;0.413742;0.8774;21;23;24;24
0.7649889;0.7375;0.4591421;0.8597;0.4818936;0.8589;21;23;24;23
1.456908;0.5125;0.7810383;0.7552;0.81047887;0.7463;21;23;24;23
0.7404247;0.7375;0.47532216;0.8489;0.47587627;0.8471;21;23;24;23
0.6912301;0.8125;0.7710616;0.7574;0.7941186;0.7593;21;23;24;23
0.6498515;0.8125;0.41755137;0.8718;0.43174824;0.8684;21;23;24;23
0.29923;0.9125;0.38400006;0.8835;0.3979863;0.8775;21;23;24;23
0.6085016;0.825;0.3673222;0.8937;0.38439193;0.8869;21;22;24;22
0.45839033;0.8625;0.39565906;0.8839;0.41097274;0.8799;21;22;24;22
0.7096518;0.775;0.3828832;0.8854;0.41135326;0.8747;21;22;24;22
0.3921383;0.8625;0.40832016;0.8787;0.4379789;0.8709;20;22;23;22
0.31667638;0.9125;0.36444962;0.8935;0.36612067;0.8926;20;22;23;22
0.5484768;0.85;0.52135026;0.8454;0.5398913;0.8371;20;22;23;22
0.48007458;0.8625;0.50188905;0.8559;0.52572674;0.8467;20;22;23;22
0.99808776;0.6875;0.6435539;0.7955;0.6269426;0.7993;20;22;23;22
0.9871567;0.7625;0.76960176;0.7447;0.802269;0.7395;20;22;23;22
0.49692446;0.825;0.3608579;0.8935;0.37983704;0.8895;20;22;23;22
0.4462151;0.8625;0.32464966;0.9081;0.33564007;0.9004;20;21;23;22
0.6178976;0.8125;0.38054398;0.8887;0.39734152;0.8819;20;21;23;22
0.28110668;0.9375;0.34123516;0.8949;0.3375402;0.8983;20;21;23;22
0.75856584;0.7875;0.3489529;0.8994;0.37282038;0.8918;20;21;23;22
1.2494838;0.725;0.727333;0.769;0.7704902;0.7523;20;21;23;22
2.2753963;0.45;1.6982571;0.528;1.7337047;0.5388;20;21;23;21
0.5470493;0.8375;0.37302628;0.8879;0.38153055;0.8856;20;21;23;21
0.39963654;0.85;0.30619824;0.9058;0.31261054;0.9064;20;21;23;21
0.26327685;0.95;0.3413125;0.8998;0.37695888;0.8897;20;21;23;21
0.22364259;0.9125;0.38707277;0.8854;0.39257914;0.8847;20;21;22;20
0.33503428;0.9125;0.4147082;0.8795;0.41071895;0.88;19;21;22;20
0.5130413;0.8375;0.5184609;0.8324;0.53484637;0.8285;19;21;22;20
0.48454744;0.8625;0.36923736;0.8931;0.38241377;0.8845;19;20;22;20
0.55541813;0.875;0.3318407;0.9011;0.34338057;0.8918;19;20;22;20
0.34010923;0.875;0.30314234;0.9122;0.32729673;0.9004;19;20;22;20
0.55816126;0.825;0.88352734;0.7325;0.90482324;0.7178;19;20;22;20
0.8469817;0.8;0.3193045;0.9037;0.34808546;0.897;19;20;22;20
0.29458314;0.925;0.36925805;0.8871;0.3984313;0.8824;19;20;22;20
0.30627507;0.9;0.317255;0.9074;0.34915698;0.8956;19;20;22;20
0.3657264;0.9;0.27624655;0.9187;0.2916601;0.9126;19;20;22;20
0.32555833;0.875;0.285781;0.9181;0.3077586;0.9054;19;20;22;20
0.3589431;0.9625;0.30716285;0.9124;0.31049508;0.9074;19;20;22;20
0.27018216;0.9;0.27215737;0.9224;0.29840845;0.9114;19;20;22;20
0.26363912;0.9125;0.33570904;0.9026;0.34161046;0.8969;19;20;22;20
0.48170787;0.85;0.32697836;0.9002;0.33948803;0.8977;19;20;22;20
0.36198848;0.875;0.32789502;0.9029;0.33323258;0.8993;19;20;22;20
0.17980799;0.95;0.28749844;0.917;0.30472267;0.9078;19;20;22;20
0.6264545;0.7875;0.56564844;0.8229;0.5934441;0.8122;19;20;22;20
0.6077789;0.8625;0.30250973;0.9129;0.31962147;0.9048;19;20;22;20
0.40708604;0.875;0.27840424;0.9207;0.29340038;0.9134;19;20;22;20
0.45055264;0.8625;0.30901337;0.9089;0.3232404;0.9024;19;20;22;20
0.42825708;0.85;0.32356063;0.9057;0.3482067;0.8987;19;20;22;20
0.53017205;0.875;0.33125937;0.9036;0.34269592;0.8978;19;20;22;20
0.26365405;0.9125;0.30794576;0.9141;0.31680757;0.9065;19;20;22;20
0.40049034;0.8875;0.24095659;0.9304;0.25733522;0.9251;19;20;22;20
0.15538442;0.95;0.30475062;0.9081;0.33674526;0.8979;19;20;22;20
0.23974577;0.9375;0.26550743;0.9216;0.28536656;0.9158;19;20;22;20
