loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
1.4672298;0.475;1.4082013;0.465;1.4099858;0.4603;41;35;36;35
1.3464136;0.5;1.4983497;0.3998;1.4951558;0.3944;39;34;35;34
0.9560815;0.6;0.837654;0.7061;0.8566882;0.6937;37;32;34;32
0.60005504;0.825;0.6664074;0.7845;0.6751986;0.7784;35;30;33;30
1.2097045;0.5875;0.886587;0.6642;0.90071875;0.6591;35;29;32;29
1.142917;0.6375;0.8428384;0.7139;0.8459566;0.7087;33;28;31;29
0.83330154;0.7875;0.60447854;0.7971;0.62341756;0.7887;32;28;31;29
1.0347662;0.6375;0.6973019;0.7563;0.70361143;0.7408;32;28;31;29
0.7584404;0.7625;0.54573256;0.8238;0.55718386;0.8186;31;27;31;28
0.93166506;0.65;0.6403507;0.7981;0.6488399;0.799;30;27;30;28
0.33649632;0.8875;0.4447199;0.8639;0.46529025;0.8515;30;26;30;28
0.4937409;0.85;0.5418033;0.8301;0.5430688;0.8309;30;26;29;27
0.9437088;0.675;0.63618606;0.8043;0.65632933;0.7974;30;26;28;27
0.3313577;0.875;0.41927823;0.8758;0.43029794;0.8698;29;25;27;27
0.5816309;0.85;0.6123507;0.7913;0.6260912;0.7924;29;25;27;27
0.59455097;0.8125;0.6112675;0.8103;0.6205914;0.7994;29;25;27;27
0.44483012;0.8125;0.4250335;0.8722;0.44949394;0.8607;29;25;27;27
0.5981185;0.8375;0.39249402;0.8878;0.40516958;0.8803;28;24;27;27
0.43972173;0.8625;0.42711544;0.8677;0.4497919;0.8519;28;24;27;26
0.43446892;0.8375;0.42690098;0.8694;0.44251445;0.8657;27;24;27;26
0.35525393;0.875;0.47269693;0.8553;0.49476942;0.8441;27;24;26;26
0.40507403;0.8875;0.49641377;0.8378;0.5129273;0.8307;27;23;26;26
1.705003;0.475;0.86645114;0.7189;0.84764963;0.7223;27;23;25;26
0.61688673;0.775;0.5559281;0.8075;0.56329954;0.8057;27;23;25;26
0.5406413;0.8375;0.50604284;0.8458;0.53225553;0.8284;27;22;25;26
0.6999066;0.8;0.47812706;0.8591;0.4911191;0.8517;27;22;25;26
0.5900506;0.85;0.46786988;0.8638;0.4724424;0.8617;27;22;24;26
0.5866109;0.8;0.61889476;0.8075;0.644538;0.7982;27;22;24;26
0.549261;0.8125;0.4461456;0.8571;0.48065507;0.8467;27;22;24;26
0.52562296;0.825;0.40713087;0.8723;0.4138165;0.8665;27;22;24;26
0.27614152;0.8875;0.3772198;0.8909;0.38623372;0.8861;27;22;24;26
0.36256966;0.9125;0.41066417;0.8802;0.41644955;0.8737;27;22;24;26
0.36175695;0.8875;0.68113804;0.7689;0.72027844;0.7571;26;22;24;25
0.5172131;0.8375;0.41475835;0.8789;0.42423466;0.8732;26;22;24;25
0.3598868;0.8625;0.4701597;0.8574;0.47343397;0.8485;26;22;24;25
0.32235372;0.8875;0.36954877;0.8928;0.3991292;0.8836;26;22;24;25
0.38485754;0.8875;0.32664046;0.907;0.34217355;0.8987;26;22;24;25
0.49257427;0.8375;0.48913735;0.8532;0.5134026;0.8436;26;22;24;25
0.605398;0.8375;0.78003615;0.7702;0.8359246;0.7598;26;22;24;25
0.4439241;0.875;0.6842671;0.7739;0.7223291;0.7538;26;22;24;25
0.8891923;0.7375;0.66588867;0.7846;0.6763173;0.7853;26;22;24;25
0.5824691;0.8625;0.4441001;0.8677;0.4661492;0.8605;26;22;24;25
0.45244074;0.8625;0.3315565;0.905;0.34891352;0.8972;26;22;24;25
0.56305444;0.8625;0.4719486;0.8548;0.5161246;0.8428;26;21;24;25
0.5558794;0.85;0.3947702;0.8871;0.4059813;0.8799;26;21;23;24
0.39704138;0.875;0.39439616;0.8846;0.4348465;0.872;26;21;23;24
0.22432585;0.9125;0.367717;0.8833;0.3790017;0.8785;26;21;23;24
0.32185858;0.875;0.4491375;0.8622;0.48624247;0.85;26;21;23;24
0.42248756;0.875;0.37101594;0.8922;0.3950279;0.8843;26;21;23;24
0.62448287;0.825;0.32311368;0.9062;0.32999748;0.9029;25;21;23;24
0.6526634;0.8625;0.31121096;0.909;0.338859;0.9003;25;21;23;24
0.25808027;0.925;0.310144;0.908;0.34767416;0.8965;25;21;23;24
0.34503973;0.9375;0.2627493;0.9224;0.28401837;0.9135;25;21;23;24
0.5542515;0.825;0.31715688;0.9078;0.3242316;0.8999;25;21;23;24
0.23965862;0.9375;0.32022852;0.9042;0.3360791;0.8978;25;21;23;24
0.2926551;0.925;0.32711577;0.9068;0.35608175;0.8984;25;21;23;24
0.27052712;0.9375;0.3225739;0.9092;0.3565481;0.8977;25;21;23;24
0.75759286;0.8375;0.36925182;0.891;0.38914976;0.8831;25;21;23;24
0.38430762;0.9;0.2896752;0.9151;0.30634356;0.9078;25;20;23;24
0.24369173;0.9375;0.27779955;0.9205;0.30585948;0.9151;25;20;23;24
0.42334586;0.8875;0.26466352;0.9215;0.27603453;0.9182;25;20;23;24
0.217482;0.95;0.26680446;0.9212;0.29160157;0.916;25;20;23;24
0.54706895;0.825;0.26189643;0.9252;0.2790912;0.918;25;20;23;24
0.61441386;0.7875;0.45445898;0.8657;0.4902118;0.8554;24;20;23;24
0.45148954;0.8375;0.30768213;0.9103;0.3353318;0.9031;24;20;23;24
0.2840032;0.9375;0.27001438;0.9209;0.27666572;0.9194;24;20;23;24
0.19165823;0.925;0.26556107;0.9244;0.29727212;0.9105;24;20;23;24
0.36276212;0.9125;0.38461646;0.8824;0.37434486;0.8844;24;20;23;24
0.5941883;0.8875;0.3090795;0.9133;0.31850943;0.9091;23;20;23;24
0.18920167;0.9375;0.2884821;0.9125;0.30220228;0.9064;23;20;23;24
0.26199648;0.9125;0.31452516;0.9084;0.31634387;0.9065;23;20;23;24
0.4049901;0.875;0.2571086;0.9284;0.27254686;0.921;23;20;23;24
0.43199673;0.875;0.3320883;0.9014;0.3435153;0.8988;23;20;23;24
0.24693401;0.9375;0.27231723;0.9226;0.29620373;0.9177;23;20;23;24
0.28591457;0.9;0.3234526;0.9054;0.3506992;0.9;23;20;23;23
0.3168469;0.9;0.28075752;0.9217;0.29794386;0.9184;23;20;23;23
0.3469001;0.8875;0.27970964;0.923;0.31745845;0.9161;23;20;23;23
0.23504062;0.9125;0.30236962;0.9089;0.3200035;0.9067;23;20;23;23
0.37941232;0.8625;0.27457273;0.916;0.30556822;0.9097;23;20;23;23
0.18887742;0.9625;0.3197814;0.907;0.35019127;0.9001;23;20;22;23
0.25821197;0.9125;0.25978732;0.926;0.2911791;0.914;23;20;22;23
0.45622444;0.875;0.2601938;0.921;0.2902303;0.9126;23;20;22;23
0.17129706;0.9625;0.27039295;0.9156;0.30573508;0.9087;23;20;22;23
0.31405315;0.8875;0.24626343;0.9304;0.2704167;0.9219;23;20;22;23
0.37966722;0.9;0.3512904;0.8944;0.38070056;0.8876;23;20;22;23
0.43106574;0.8625;0.26493797;0.9221;0.2814859;0.9166;23;19;22;23
0.26041013;0.9125;0.25663537;0.923;0.27806628;0.9178;23;19;22;23
0.27132028;0.9125;0.27294186;0.9236;0.279878;0.9191;23;19;22;23
0.20914654;0.9375;0.2893972;0.9148;0.300989;0.9099;23;19;22;23
0.32053933;0.9125;0.2959687;0.9173;0.33248112;0.9086;23;19;22;23
0.2314316;0.9375;0.28130078;0.9126;0.31171957;0.9064;23;19;22;23
