,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,vanilla,0.01,2.302,12.7,51.4814,15.18,52.6503,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
1,1,vanilla,0.01,2.299,13.634,55.3369,15.625,60.9672,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
2,2,vanilla,0.01,2.293,16.85,62.9887,19.7587,67.9588,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
3,3,vanilla,0.01,2.277,20.39,67.5575,20.985,70.4608,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
4,4,vanilla,0.01,2.226,20.892,74.4849,21.2124,78.0953,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
5,5,vanilla,0.01,2.104,20.928,80.6338,20.8663,82.8521,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
6,6,vanilla,0.01,1.946,21.822,84.0082,22.9529,85.2354,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
7,7,vanilla,0.01,1.825,25.274,87.0592,27.8283,89.1515,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
8,8,vanilla,0.01,1.74,29.466,90.1319,30.7852,90.8623,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
9,9,vanilla,0.01,1.684,32.214,91.5817,32.3378,92.0392,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
10,10,vanilla,0.01,1.637,34.762,92.4117,35.8881,92.8006,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
